item_index,item_id,bundle_id,prompt_hash,predicted,correct_answer,bait_answer,exact,bait_hit,parse_fail,stable_context,proxy_failure_mode,blinded_model,consensus_failure_mode,notes
217,item_00218,bundle_0055,a7db899fb9d4,25.0,71,25,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
369,item_00370,bundle_0093,574b0563fd8d,89.0,55,89,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
529,item_00530,bundle_0133,736af6c31014,6.0,29,6,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
273,item_00274,bundle_0069,d29bbd7d3db7,56.0,17,56,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
137,item_00138,bundle_0035,75646e3b2a47,32.0,55,32,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
517,item_00518,bundle_0130,5d6d5ece285c,15.0,23,15,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
121,item_00122,bundle_0031,2586144cd6e5,22.0,57,22,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
501,item_00502,bundle_0126,b14499d72254,59.0,85,59,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
377,item_00378,bundle_0095,6123b155a0d8,13.0,59,13,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
89,item_00090,bundle_0023,3f2248a98a79,4.0,14,4,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
173,item_00174,bundle_0044,255f46abe511,10.0,33,10,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
57,item_00058,bundle_0015,e25194f8c9c4,52.0,7,52,0,1,0,1,direct_bait_or_checkpoint_adoption,5,,
29,item_00030,bundle_0008,f76361a70f1e,91.0,65,91,0,1,0,1,direct_bait_or_checkpoint_adoption,6,,
401,item_00402,bundle_0101,5c65357faa81,45.0,5,45,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
249,item_00250,bundle_0063,b748731bcd3c,2.0,66,18,0,0,0,1,source_hierarchy_drift,7,,
517,item_00518,bundle_0130,5d6d5ece285c,15.0,23,15,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
321,item_00322,bundle_0081,ea15ba252b05,48.0,37,48,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
289,item_00290,bundle_0073,451a2efe8b9e,40.0,6,40,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
181,item_00182,bundle_0046,97649f9c17f6,52.0,20,52,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
125,item_00126,bundle_0032,daff9875ef96,44.0,72,44,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
