model,name,wr,control,trap,paraphrase,format,stable,false_competence,gap,bait_hit_all_items,raw_variant_mean,stable_fail_num,stable_n
anthropic/claude-sonnet-4-6@default,Claude Sonnet 4.6,0.744531,0.9583333333333334,0.5902777777777778,0.9722222222222222,0.9583333333333334,0.9027777777777778,0.3615384615384615,0.3680555555555556,0.0954861111111111,0.8697916666666667,47,130
anthropic/claude-opus-4-6@default,Claude Opus 4.6,0.636708,0.9652777777777778,0.4513888888888889,0.9583333333333334,0.9583333333333334,0.9027777777777778,0.5153846153846153,0.5138888888888888,0.1423611111111111,0.8333333333333334,67,130
google/gemma-4-31b,Gemma 4 31B,0.430896,1.0,0.2291666666666666,1.0,1.0,1.0,0.7708333333333334,0.7708333333333334,0.1927083333333333,0.8072916666666667,111,144
google/gemini-2.5-flash,Gemini 2.5 Flash,0.349115,0.7777777777777778,0.1875,0.8125,0.7291666666666666,0.5625,0.8024691358024691,0.5902777777777778,0.234375,0.626736111111111,65,81
deepseek-ai/deepseek-v3.2,DeepSeek V3.2,0.310502,0.4375,0.1805555555555555,0.5138888888888888,0.375,0.1527777777777778,0.6818181818181818,0.2569444444444444,0.2326388888888889,0.3767361111111111,15,22
zai/glm-5,GLM-5,0.296703,0.9027777777777778,0.1180555555555555,0.9652777777777778,0.9375,0.8333333333333334,0.8666666666666667,0.7847222222222222,0.2690972222222222,0.7309027777777778,104,120
anthropic/claude-sonnet-4@20250514,Claude Sonnet 4,0.209479,0.2361111111111111,0.1180555555555555,0.2013888888888889,0.1805555555555555,0.0902777777777777,0.6153846153846154,0.1180555555555555,0.1128472222222222,0.1840277777777778,8,13
anthropic/claude-opus-4-5@20251101,Claude Opus 4.5,0.195186,0.3263888888888889,0.1180555555555555,0.2847222222222222,0.2083333333333333,0.1388888888888889,0.8,0.2083333333333333,0.0711805555555555,0.234375,16,20
openai/gpt-5.4-2026-03-05,GPT-5.4,0.194103,0.4583333333333333,0.0833333333333333,0.3611111111111111,0.2986111111111111,0.1597222222222222,0.8260869565217391,0.375,0.125,0.3003472222222222,19,23
anthropic/claude-sonnet-4-5@20250929,Claude Sonnet 4.5,0.178829,0.2569444444444444,0.1041666666666666,0.1666666666666666,0.2013888888888889,0.0833333333333333,0.75,0.1527777777777777,0.0885416666666666,0.1822916666666666,9,12
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,0.158132,0.1944444444444444,0.0833333333333333,0.125,0.1041666666666666,0.0555555555555555,0.625,0.1111111111111111,0.0642361111111111,0.1267361111111111,5,8
google/gemini-3.1-pro-preview,Gemini 3.1 Pro,0.147323,0.9583333333333334,0.0347222222222222,1.0,0.9930555555555556,0.9583333333333334,0.9637681159420288,0.9236111111111112,0.2534722222222222,0.7465277777777778,133,138
anthropic/claude-haiku-4-5@20251001,Claude Haiku 4.5,0.14397,0.1666666666666666,0.0555555555555555,0.1180555555555555,0.1319444444444444,0.0694444444444444,0.6,0.1111111111111111,0.0711805555555555,0.1180555555555555,6,10
qwen/qwen3-235b-a22b-instruct-2507,Qwen 3 235B,0.107749,0.2083333333333333,0.0486111111111111,0.3263888888888889,0.2361111111111111,0.1041666666666666,0.9333333333333332,0.1597222222222222,0.3611111111111111,0.2048611111111111,14,15
openai/gpt-5.4-mini-2026-03-17,GPT-5.4 mini,0.0,0.0208333333333333,0.0138888888888888,0.0069444444444444,0.0138888888888888,0.0,0.0,0.0069444444444444,0.1961805555555555,0.0138888888888888,0,0
openai/gpt-5.4-nano-2026-03-17,GPT-5.4 nano,0.0,0.0277777777777777,0.0069444444444444,0.0555555555555555,0.0486111111111111,0.0,0.0,0.0208333333333333,0.3420138888888889,0.0347222222222222,0,0
